Title;Category;rank
Ca-A Cancer Journal for Clinicians;Hematology;Q1
Ca-A Cancer Journal for Clinicians;Oncology;Q1
Nature Reviews Molecular Cell Biology;Cell Biology;Q1
Nature Reviews Molecular Cell Biology;Molecular Biology;Q1
Quarterly Journal of Economics;Economics and Econometrics;Q1
Cell;Biochemistry, Genetics and Molecular Biology, miscellaneous;Q1
MMWR Recommendations and Reports;Epidemiology;Q1
MMWR Recommendations and Reports;Health Information Management;Q1
MMWR Recommendations and Reports;Health, social science;Q1
MMWR Recommendations and Reports;Health, Toxicology and Mutagenesis;Q1
MMWR Recommendations and Reports;Medicine, miscellaneous;Q1
New England Journal of Medicine;Medicine, miscellaneous;Q1
Nature Medicine;Biochemistry, Genetics and Molecular Biology, miscellaneous;Q1
Nature Medicine;Medicine, miscellaneous;Q1
Nature Reviews Materials;Biomaterials;Q1
Nature Reviews Materials;Electronic, Optical and Magnetic Materials;Q1
Nature Reviews Materials;Energy, miscellaneous;Q1
Nature Reviews Materials;Materials Chemistry;Q1
Nature Reviews Materials;Surfaces, Coatings and Films;Q1
Proceedings of the IEEE International Conference on Computer Vision;Computer Vision and Pattern Recognition
Proceedings of the IEEE International Conference on Computer Vision;Software
Nature Reviews Genetics;Genetics;Q1
Nature Reviews Genetics;Genetics, clinical;Q1
Nature Reviews Genetics;Molecular Biology;Q1
National Vital Statistics Reports;Life-span and Life-course Studies;Q1
Reviews of Modern Physics;Physics and Astronomy, miscellaneous;Q1
American Economic Review;Economics and Econometrics;Q1
Nature Biotechnology;Applied Microbiology and Biotechnology;Q1
Nature Biotechnology;Bioengineering;Q1
Nature Biotechnology;Biomedical Engineering;Q1
Nature Biotechnology;Biotechnology;Q1
Nature Biotechnology;Molecular Medicine;Q1
Chemical Reviews;Chemistry, miscellaneous;Q1
Journal of Political Economy;Economics and Econometrics;Q1
Nature;Multidisciplinary;Q1
Annual Review of Immunology;Immunology;Q1
Annual Review of Immunology;Immunology and Allergy;Q1
Administrative Science Quarterly;Arts and Humanities, miscellaneous;Q1
Administrative Science Quarterly;Public Administration;Q1
Administrative Science Quarterly;Sociology and Political Science;Q1
Nature Reviews Immunology;Immunology;Q1
Nature Reviews Immunology;Immunology and Allergy;Q1
Nature Reviews Immunology;Medicine, miscellaneous;Q1
