Title;Categories
Ca-A Cancer Journal for Clinicians;"Hematology (Q1); Oncology (Q1)"
Nature Reviews Molecular Cell Biology;"Cell Biology (Q1); Molecular Biology (Q1)"
Quarterly Journal of Economics;Economics and Econometrics (Q1)
Cell;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
MMWR Recommendations and Reports;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
New England Journal of Medicine;Medicine (miscellaneous) (Q1)
Nature Medicine;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
Nature Reviews Materials;"Biomaterials (Q1); Electronic, Optical and Magnetic Materials (Q1); Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Surfaces, Coatings and Films (Q1)"
Proceedings of the IEEE International Conference on Computer Vision;"Computer Vision and Pattern Recognition; Software"
Nature Reviews Genetics;"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
National Vital Statistics Reports;Life-span and Life-course Studies (Q1)
Reviews of Modern Physics;Physics and Astronomy (miscellaneous) (Q1)
American Economic Review;Economics and Econometrics (Q1)
Nature Biotechnology;"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Molecular Medicine (Q1)"
Chemical Reviews;Chemistry (miscellaneous) (Q1)
Journal of Political Economy;Economics and Econometrics (Q1)
Nature;Multidisciplinary (Q1)
Annual Review of Immunology;"Immunology (Q1); Immunology and Allergy (Q1)"
Administrative Science Quarterly;"Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
Nature Reviews Immunology;"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)"
Nature Reviews Cancer;"Cancer Research (Q1); Oncology (Q1)"
Nature Energy;"Electronic, Optical and Magnetic Materials (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
Nature Genetics;Genetics (Q1)
