Title;Rank
Ca-A Cancer Journal for Clinicians;1
Nature Reviews Molecular Cell Biology;2
Quarterly Journal of Economics;3
Cell;4
MMWR Recommendations and Reports;5
New England Journal of Medicine;6
Nature Medicine;7
Nature Reviews Materials;8
Proceedings of the IEEE International Conference on Computer Vision;9
Nature Reviews Genetics;10
National Vital Statistics Reports;11
Reviews of Modern Physics;12
American Economic Review;13
Nature Biotechnology;14
Chemical Reviews;15
Journal of Political Economy;16
Nature;17
Annual Review of Immunology;18
Administrative Science Quarterly;19
Nature Reviews Immunology;20
Nature Reviews Cancer;21
Nature Energy;22
Nature Genetics;23
Morbidity and Mortality Weekly Report;24
Journal of Finance;25
Lancet, The;26
Review of Economic Studies;27
Academy of Management Annals;28
Science;29
Chemical Society Reviews;30
Immunity;31
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition;32
IEEE Communications Surveys and Tutorials;33
Lancet Microbe, The;34
Foundations and Trends in Machine Learning;35
Econometrica;36
Annual Review of Biochemistry;37
Physiological Reviews;38
World Psychiatry;39
Nature Catalysis;40
Annual Review of Astronomy and Astrophysics;41
Living Reviews in Relativity;42
Nature Materials;43
Nature Methods;44
Nature Neuroscience;45
Science immunology;46
Nature Reviews Chemistry;47
Nature Reviews Clinical Oncology;48
Lancet Oncology, The;49
Nature Nanotechnology;50
Lancet Neurology, The;51
Review of Financial Studies;52
Energy and Environmental Science;53
Lancet Public Health, The;54
Nature Reviews Drug Discovery;55
Lancet Respiratory Medicine,The;56
Nature Photonics;57
Academy of Management Journal;58
Joule;59
Journal of Financial Economics;60
Lancet Infectious Diseases, The;61
MMWR Surveillance Summaries;62
Annual Review of Pathology: Mechanisms of Disease;63
American Economic Journal: Applied Economics;64
Cancer Cell;65
Molecular Cell;66
Nature Cell Biology;67
American Economic Journal: Macroeconomics;68
Lancet Diabetes and Endocrinology,The;69
Journal of the American College of Cardiology;70
Nature Microbiology;71
Astronomy and Astrophysics Review;72
Annual Review of Plant Biology;73
Annual Review of Genetics;74
Journal of Economic Literature;75
Strategic Management Journal;76
Annual Review of Condensed Matter Physics;77
Nature Reviews Gastroenterology and Hepatology;78
Journal of Clinical Oncology;79
Cell Host and Microbe;80
Genome Biology;81
Cell Metabolism;82
Nature Immunology;83
Nature Reviews Microbiology;84
Nature Reviews Physics;85
Clinical Microbiology Reviews;86
Progress in Materials Science;87
Lancet Psychiatry,The;88
Lancet Global Health,The;89
Advances in Physics;90
Annual Review of Psychology;91
Advanced Materials;92
Annual Review of Organizational Psychology and Organizational Behavior;93
American Economic Journal: Economic Policy;94
Annals of Oncology;95
Nature Reviews Endocrinology;96
Reviews of Geophysics;97
Nature Structural and Molecular Biology;98
Annual Review of Public Health;99
Nature Reviews Disease Primers;100
Nature Chemistry;101
JAMA Cardiology;102
Nature Electronics;103
Circulation;104
IEEE Transactions on Pattern Analysis and Machine Intelligence;105
Review of Economics and Statistics;106
Nucleic Acids Research;107
Advanced Energy Materials;108
Psychological science in the public interest : a journal of the American Psychological Society;109
Nature Reviews Neuroscience;110
Cell Stem Cell;111
Gut;112
Cell Research;113
Journal of Economic Perspectives;114
Nature Reviews Neurology;115
Gastroenterology;116
Personality and Social Psychology Review;117
Academy of Management Review;118
NCHS data brief;119
Nature Physics;120
Annual Review of Fluid Mechanics;121
Neuron;122
Psychological Bulletin;123
JAMA Oncology;124
Acta Crystallographica Section D: Structural Biology;125
EnergyChem;126
Advances in Optics and Photonics;127
Accounts of Chemical Research;128
Journal of Marketing;129
Annual Review of Clinical Psychology;130
Trends in Cell Biology;131
ACS Energy Letters;132
Journal of Hepatology;133
Journal of Accounting and Economics;134
Annual Review of Neuroscience;135
Journal of Experimental Medicine;136
Annual Review of Biophysics;137
ACM Transactions on Graphics;138
Manufacturing and Service Operations Management;139
Journal of Management;140
Review of Corporate Finance Studies;141
Journal of Consumer Research;142
Nature Protocols;143
Electrochemical Energy Reviews;144
Cell Systems;145
Living Reviews in Solar Physics;146
Molecular Cancer;147
Review of Educational Research;148
Organization Science;149
Endocrine Reviews;150
Annual Review of Economics;151
International Journal of Computer Vision;152
Progress in Energy and Combustion Science;153
Physical Review X;154
Nature Reviews Cardiology;155
Annual Review of Physiology;156
NBER Macroeconomics Annual;157
Annals of Mathematics;158
Fungal Diversity;159
Lancet Rheumatology, The;160
Nature Reviews Nephrology;161
Annual Review of Nuclear and Particle Science;162
Marketing Science;163
Science Robotics;164
Genes and Development;165
Diabetes Care;166
Molecular Systems Biology;167
Journal of Applied Psychology;168
Materials Science and Engineering: R: Reports;169
Annual Review of Microbiology;170
Annual Review of Cell and Developmental Biology;171
Annals of Statistics;172
Physics Reports;173
IEEE Journal on Selected Areas in Communications;174
Materials Today;175
JAMA Neurology;176
Journal of the Royal Statistical Society. Series B: Statistical Methodology;177
Annual Review of Ecology, Evolution, and Systematics;178
Trends in Cognitive Sciences;179
Nature Metabolism;180
Nature Cancer;181
European Urology;182
Systematic Biology;183
Nature Climate Change;184
Annual Review of Entomology;185
Cancer Discovery;186
IEEE Transactions on Evolutionary Computation;187
JAMA - Journal of the American Medical Association;188
Chem;189
IEEE Wireless Communications;190
Lancet Digital Health, The;191
Progress in Retinal and Eye Research;192
Cell Reports Medicine;193
American Journal of Respiratory and Critical Care Medicine;194
American Sociological Review;195
Lancet Gastroenterology and Hepatology, The;196
