Rank;Country;Region;Documents;Citable documents;Citations;Self-citations;Citations per document;H index
1;United States;Northern America;14408686;12662685;422381431;181255974;29,31;2711
2;China;Asiatic Region;8254736;8081358;96129346;55619277;11,65;1112
3;United Kingdom;Western Europe;4235739;3564646;114382158;24729307;27;1707
4;Germany;Western Europe;3663812;3352795;89183196;20651732;24,34;1498
5;Japan;Asiatic Region;3191326;3035507;58822810;14431511;18,43;1171
6;France;Western Europe;2521133;2325263;61010667;11895280;24,2;1352
7;India;Asiatic Region;2353482;2177268;26332969;8967838;11,19;745
8;Italy;Western Europe;2197985;1983062;48803041;11022920;22,2;1189
9;Canada;Northern America;2146402;1917712;58975462;9677796;27,48;1381
10;Australia;Pacific Region;1747456;1538304;43564203;8366775;24,93;1193
11;Spain;Western Europe;1731575;1586734;36528228;7602845;21,1;1073
12;Russian Federation;Eastern Europe;1472666;1432179;12197559;4154321;8,28;675
13;South Korea;Asiatic Region;1400127;1350774;23272197;4247883;16,62;810
14;Brazil;Latin America;1233706;1165637;16948185;5324097;13,74;690
15;Netherlands;Western Europe;1190268;1067013;38427592;5379405;32,28;1206
16;Switzerland;Western Europe;882183;799411;29253552;3452521;33,16;1142
17;Poland;Eastern Europe;836384;795462;10664792;2509279;12,75;660
18;Sweden;Western Europe;807075;738825;24290014;3240787;30,1;1036
19;Taiwan;Asiatic Region;789909;758084;13233047;2209341;16,75;615
20;Turkey;Middle East;767299;713081;9710816;2000813;12,66;535
21;Iran;Middle East;733080;707897;8788390;2872308;11,99;416
22;Belgium;Western Europe;654135;594668;18426687;2153144;28,17;942
23;Denmark;Western Europe;497068;449661;15613319;1927898;31,41;900
24;Austria;Western Europe;486188;440891;12212730;1410769;25,12;783
25;Israel;Middle East;457975;415893;12680144;1493196;27,69;821
26;Mexico;Latin America;416112;388769;6004537;1121192;14,43;536
27;Czech Republic;Eastern Europe;412910;394789;5890602;1143483;14,27;554
28;Finland;Western Europe;411751;380093;11234329;1467156;27,28;756
29;Malaysia;Asiatic Region;410009;391970;4465995;1007984;10,89;415
30;Portugal;Western Europe;405434;370547;7710506;1226258;19,02;599
31;Norway;Western Europe;400814;359077;10278860;1371037;25,64;747
32;Hong Kong;Asiatic Region;392606;362445;10170103;1111792;25,9;687
33;Greece;Western Europe;390754;352361;8043851;1080931;20,59;610
34;Singapore;Asiatic Region;373202;341165;9580943;930752;25,67;697
35;South Africa;Africa;372646;336951;6268457;1247517;16,82;567
36;Egypt;Africa/Middle East;302626;290713;3812756;786275;12,6;349
37;New Zealand;Pacific Region;301756;265890;7413693;933091;24,57;633
38;Saudi Arabia;Middle East;299283;285929;4487881;712683;15;478
39;Ireland;Western Europe;264124;231551;6448205;628096;24,41;628
40;Indonesia;Asiatic Region;263491;256614;1393314;377132;5,29;284
41;Argentina;Latin America;260997;243496;4704091;861118;18,02;510
42;Romania;Eastern Europe;255651;244577;2492998;493756;9,75;364
43;Ukraine;Eastern Europe;250206;243638;1933272;544015;7,73;323
44;Thailand;Asiatic Region;248087;235095;3447129;522983;13,89;396
45;Pakistan;Asiatic Region;244476;232874;2798976;679622;11,45;353
46;Hungary;Eastern Europe;235457;220928;4463516;610303;18,96;540
47;Chile;Latin America;203622;191964;3555884;639491;17,46;451
48;Colombia;Latin America;150096;141076;1794712;273154;11,96;356
49;Slovakia;Eastern Europe;141920;136388;1741765;304134;12,27;331
50;Nigeria;Africa;135504;127434;1298563;265966;9,58;260
51;Croatia;Eastern Europe;132764;125767;1607219;253870;12,11;337
52;Serbia;Eastern Europe;120688;113652;1490196;244689;12,35;307
53;Slovenia;Eastern Europe;119016;112235;2046971;279693;17,2;361
54;Tunisia;Africa;113626;107531;1245991;225365;10,97;235
55;Viet Nam;Asiatic Region;101068;96177;1233938;205683;12,21;269
56;Bulgaria;Eastern Europe;99709;95103;1306680;171079;13,1;305
57;Algeria;Africa;93727;90863;896338;178117;9,56;213
58;Morocco;Africa;93468;88034;946325;185488;10,12;232
59;United Arab Emirates;Middle East;87125;80662;1075950;109871;12,35;268
60;Iraq;Middle East;79792;77910;455521;105670;5,71;155
61;Bangladesh;Asiatic Region;79426;74897;970199;170255;12,22;252
62;Lithuania;Eastern Europe;67285;64629;878242;139107;13,05;265
63;Jordan;Middle East;60967;58789;738525;90396;12,11;219
64;Estonia;Eastern Europe;53313;49547;1241149;151551;23,28;346
65;Philippines;Asiatic Region;51529;47327;834694;81072;16,2;296
66;Kenya;Africa;49757;44630;1128835;148443;22,69;310
67;Belarus;Eastern Europe;47179;45986;534268;93090;11,32;213
68;Cuba;Latin America;47064;44406;458316;74348;9,74;200
69;Lebanon;Middle East;45782;41600;745429;62343;16,28;264
