Title;Publisher
Ca-A Cancer Journal for Clinicians;Wiley-Blackwell
Nature Reviews Molecular Cell Biology;Nature Publishing Group
Quarterly Journal of Economics;Oxford University Press
Cell;Cell Press
MMWR Recommendations and Reports;Centers for Disease Control and Prevention (CDC)
New England Journal of Medicine;Massachussetts Medical Society
Nature Medicine;Nature Publishing Group
Nature Reviews Materials;Nature Publishing Group
Proceedings of the IEEE International Conference on Computer Vision;Institute of Electrical and Electronics Engineers Inc.
Nature Reviews Genetics;Nature Publishing Group
National Vital Statistics Reports;Public Health Services, US Dept of Health and Human Services
Reviews of Modern Physics;American Physical Society
American Economic Review;American Economic Association
Nature Biotechnology;Nature Publishing Group
Chemical Reviews;American Chemical Society
Journal of Political Economy;University of Chicago
Nature;Nature Publishing Group
Annual Review of Immunology;Annual Reviews Inc.
Administrative Science Quarterly;Johnson School at Cornell University
Nature Reviews Immunology;Nature Publishing Group
Nature Reviews Cancer;Nature Publishing Group
Nature Energy;Springer Nature
Nature Genetics;Nature Publishing Group
Morbidity and Mortality Weekly Report;Department of Health and Human Services
Journal of Finance;Wiley-Blackwell Publishing Ltd
Lancet, The;Elsevier Ltd.
Review of Economic Studies;Oxford University Press
Academy of Management Annals;Academy of Management
Science;American Association for the Advancement of Science
Chemical Society Reviews;Royal Society of Chemistry
Immunity;Cell Press
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition;IEEE Computer Society
IEEE Communications Surveys and Tutorials;Institute of Electrical and Electronics Engineers Inc.
Lancet Microbe, The;Elsevier Ltd.
Foundations and Trends in Machine Learning;Now Publishers Inc
Econometrica;Wiley-Blackwell Publishing Ltd
Annual Review of Biochemistry;Annual Reviews Inc.
Physiological Reviews;American Physiological Society
World Psychiatry;Wiley-Blackwell
Nature Catalysis;Nature Publishing Group
Annual Review of Astronomy and Astrophysics;Annual Reviews Inc.
Living Reviews in Relativity;Springer International Publishing AG
Nature Materials;Nature Publishing Group
Nature Methods;Nature Publishing Group
Nature Neuroscience;Nature Publishing Group
Science immunology;American Association for the Advancement of Science
Nature Reviews Chemistry;Nature Publishing Group
Nature Reviews Clinical Oncology;Nature Publishing Group
Lancet Oncology, The;Lancet Publishing Group
Nature Nanotechnology;Nature Publishing Group
Lancet Neurology, The;Lancet Publishing Group
Review of Financial Studies;Oxford University Press
Energy and Environmental Science;Royal Society of Chemistry
Lancet Public Health, The;Elsevier Ltd.
Nature Reviews Drug Discovery;Nature Publishing Group
Lancet Respiratory Medicine,The;Elsevier Ltd.
Nature Photonics;Nature Publishing Group
Academy of Management Journal;Academy of Management
Joule;Cell Press
Journal of Financial Economics;Elsevier
Lancet Infectious Diseases, The;Lancet Publishing Group
MMWR Surveillance Summaries;Centers for Disease Control and Prevention (CDC)
Annual Review of Pathology: Mechanisms of Disease;Annual Reviews Inc.
American Economic Journal: Applied Economics;American Economic Association
Cancer Cell;Cell Press
Molecular Cell;Cell Press
Nature Cell Biology;Nature Publishing Group
American Economic Journal: Macroeconomics;American Economic Association
Lancet Diabetes and Endocrinology,The;Elsevier BV
Journal of the American College of Cardiology;Elsevier USA
Nature Microbiology;Nature Publishing Group
Astronomy and Astrophysics Review;Springer Verlag
Annual Review of Plant Biology;Annual Reviews Inc.
Annual Review of Genetics;Annual Reviews Inc.
Journal of Economic Literature;American Economic Association
Strategic Management Journal;John Wiley and Sons Ltd
